cc_id,credit_card_expires,credit_card_number,credit_card_provider,credit_card_security_code
0,06/31,2269172571677458,Diners Club / Carte Blanche,338
1,03/24,2523870337522643,Diners Club / Carte Blanche,281
2,08/28,630495016804,Discover,4056
3,04/33,4234465830748237,Mastercard,497
4,09/26,378189204316512,American Express,206
5,10/25,4985681645741,Discover,927
6,10/25,4985681645741,Discover,927
7,09/27,371450682302318,Maestro,577
8,11/24,2364648842479646,Discover,155
9,11/24,2364648842479646,Discover,155
10,02/33,30190397251185,VISA 13 digit,856
11,02/33,30190397251185,VISA 13 digit,856
12,10/32,4511109861952896,Mastercard,564
13,10/32,4511109861952896,Mastercard,564
14,05/32,4654180978373303154,JCB 16 digit,256
15,08/28,6558115803002350,VISA 16 digit,6916
16,08/24,6011988096474234,Maestro,602
17,08/24,6011988096474234,Maestro,602
18,09/27,30543081863337,VISA 19 digit,132
19,09/27,30543081863337,VISA 19 digit,132
20,11/33,3501787019749977,VISA 13 digit,777
21,11/33,3501787019749977,VISA 13 digit,777
22,05/31,4295407206772660,Maestro,160
23,05/31,4295407206772660,Maestro,160
24,05/31,4295407206772660,Maestro,160
25,05/31,4295407206772660,Maestro,160
26,12/31,3575246342365499,American Express,905
27,12/31,3575246342365499,American Express,905
28,12/31,3575246342365499,American Express,905
29,04/33,3575461165129191,Mastercard,808
30,05/30,213100793366916,Diners Club / Carte Blanche,142
31,05/30,213100793366916,Diners Club / Carte Blanche,142
32,02/32,3551346601824331,JCB 16 digit,382
33,02/32,3551346601824331,JCB 16 digit,382
34,03/33,4634617461878,VISA 13 digit,837
35,03/33,4634617461878,VISA 13 digit,837
36,03/31,30157889107464,JCB 16 digit,019
37,12/26,346479296586869,Maestro,813
38,12/27,5188108616445254,VISA 16 digit,084
39,09/33,213161986312836,Mastercard,180
40,04/24,213106182744548,JCB 15 digit,446
41,07/27,4085702648508302738,Mastercard,122
42,08/31,630420755880,VISA 13 digit,141
43,08/31,630420755880,VISA 13 digit,141
44,01/28,4535492518619360362,Diners Club / Carte Blanche,212
45,01/31,4688194759633,JCB 16 digit,497
46,10/28,4853805951876,American Express,757
47,04/25,3574574032212718,Discover,070
48,04/25,3574574032212718,Discover,070
49,02/28,2251423083693909,Mastercard,208
50,02/28,2251423083693909,Mastercard,208
51,02/29,4922532878604015,JCB 15 digit,046
52,02/29,4922532878604015,JCB 15 digit,046
53,05/25,2280760904840499,VISA 13 digit,121
54,08/32,2464906668621348,Diners Club / Carte Blanche,896
55,08/32,2464906668621348,Diners Club / Carte Blanche,896
56,11/27,4140598078643018,JCB 15 digit,776
57,11/27,4140598078643018,JCB 15 digit,776
58,06/27,213151065642054,JCB 16 digit,710
59,06/27,213151065642054,JCB 16 digit,710
60,11/30,3563417071005432,VISA 16 digit,275
61,11/30,3563417071005432,VISA 16 digit,275
62,05/24,676102399018,VISA 13 digit,762
63,05/24,676102399018,VISA 13 digit,762
64,05/24,4599839701304,Mastercard,978
65,09/31,4670744779131736155,JCB 15 digit,396
